peak surface temperature (rel. to 2010-2019),non-co2 warming (rel. to 2010-2019) at peak cumulative emissions co2,magicc_ind
0.54808223,0.111535095,477.0
0.54117566,0.11928743,478.0
0.5356858,0.17230132,479.0
0.5769839,0.11638593,480.0
0.5799584,0.16865636,481.0
0.61696744,0.1305755,482.0
0.650075,0.13709308,483.0
0.5977321,0.117926784,484.0
0.6186693,0.12213122,485.0
0.57713985,0.078805506,486.0
0.6218968,0.11527891,487.0
0.6567668,0.10563771,488.0
0.6325407,0.0942804,489.0
0.6325435,0.09411655,490.0
0.40774518,0.10652044,491.0
0.624362,0.12465084,492.0
0.47839886,0.10744469,493.0
0.52840346,0.12739518,494.0
0.66697866,0.13267104,495.0
0.551577,0.13624811,496.0
0.5834467,0.13796397,497.0
0.364887,0.098703094,498.0
0.41303682,0.10648816,499.0
0.32372797,0.07787051,500.0
0.45331174,0.09690514,501.0
0.49777976,0.07790772,502.0
0.41153443,0.10907746,503.0
0.42411885,0.102762505,504.0
0.5328337,0.07335234,505.0
0.42608377,0.0964109,506.0
0.5749551,0.09272169,507.0
0.4179782,0.09501115,508.0
0.57020646,0.10442141,509.0
0.4214103,0.120963775,510.0
0.58903545,0.13840164,511.0
0.48608544,0.094653904,512.0
0.58881,0.1261526,513.0
0.58733046,0.13596736,514.0
0.43686703,0.063624285,515.0
0.48564583,0.09448557,516.0
0.5255415,0.0640272,517.0
0.5054276,0.039396286,518.0
0.5440948,0.07681005,519.0
0.55718553,0.07347105,520.0
0.45276275,0.0701087,521.0
0.50113744,0.044489928,522.0
0.39878413,0.084575094,523.0
0.49224004,0.11000762,524.0
0.52847004,0.091093674,525.0
0.4231977,0.10564276,526.0
0.4865481,0.09643899,527.0
0.5515313,0.103791445,528.0
0.4086662,0.08011627,529.0
0.49395624,0.113218464,530.0
0.4916061,0.11112477,531.0
0.49061462,0.11278252,532.0
0.48168448,0.10871074,533.0
0.49119827,0.11211522,534.0
0.49019754,0.11241383,535.0
0.4855566,0.11082514,536.0
0.48979497,0.110719524,537.0
0.4881216,0.11077247,538.0
0.49691734,0.14511792,539.0
0.50399923,0.15756021,540.0
0.43378085,0.0834375,541.0
0.6409169,0.090088435,542.0
0.94827175,0.098129906,543.0
0.39505428,0.04225994,544.0
0.61333144,0.04328717,545.0
0.8912437,0.051851306,546.0
0.51546735,0.06967091,547.0
0.7233466,0.06996633,548.0
0.964053,0.07727353,549.0
