peak surface temperature (rel. to 2010-2019),non-co2 warming (rel. to 2010-2019) at peak cumulative emissions co2,magicc_ind
1.2608975,0.10816753,277.0
1.3427265,0.10400152,278.0
0.4764151,0.19236153,279.0
0.78781307,0.22387433,280.0
0.4891821,0.19345433,281.0
0.9039434,0.25041544,282.0
0.47612184,0.19138163,283.0
0.80888027,0.23065156,284.0
0.46007955,0.19652444,285.0
0.70004547,0.21450841,286.0
0.5140039,0.17871863,287.0
0.8028873,0.17116982,288.0
0.6211263,0.18752187,289.0
0.64585507,0.22086078,290.0
0.83382225,0.20478791,291.0
0.67011034,0.2198574,292.0
0.7105776,0.2156319,293.0
2.0850596,0.33094335,294.0
3.0318637,0.71712303,295.0
2.6942682,0.5388663,296.0
0.46453732,0.17784816,297.0
0.54380435,0.18109661,298.0
0.42679125,0.17157012,299.0
0.6215102,0.18315202,300.0
0.69435376,0.18942767,301.0
0.56725186,0.17170149,302.0
3.0740378,0.8086977,303.0
0.5201272,0.15107983,304.0
0.7553886,0.17791164,305.0
1.0734344,0.19678384,306.0
1.4662284,0.21964276,307.0
1.965704,0.47847795,308.0
0.49264014,0.13301063,309.0
0.74199885,0.14403266,310.0
1.0340166,0.15393531,311.0
1.5290384,0.1843977,312.0
2.2321227,0.3739549,313.0
3.0052547,0.71523356,314.0
0.6060737,0.15253538,315.0
0.845852,0.16908228,316.0
1.1073084,0.17717862,317.0
1.5026962,0.16788161,318.0
2.2229457,0.28871953,319.0
4.089276,0.8845613,320.0
2.0791469,0.31657267,321.0
2.7008498,0.5499134,322.0
0.6407312,0.18607318,323.0
0.8286847,0.18139517,324.0
0.5254739,0.17770374,325.0
3.1685736,0.8557017,326.0
0.60006285,0.16613245,327.0
0.6016412,0.17176831,328.0
0.54727066,0.15562391,329.0
3.3295918,0.99081135,330.0
0.9594061,0.1919213,331.0
0.96370506,0.19860649,332.0
0.8657243,0.15942717,333.0
0.8818673,0.1423409,334.0
0.916452,0.1815331,335.0
0.8643973,0.13228726,336.0
0.76482695,0.18019599,337.0
0.7646922,0.18727386,338.0
0.5997286,0.16838706,339.0
0.590254,0.13635033,340.0
0.7078709,0.17977798,341.0
0.5527725,0.13809836,342.0
0.80045867,0.19430971,343.0
0.99351513,0.13860106,344.0
1.3221959,0.19437325,345.0
1.5077912,0.19921327,346.0
0.6934906,0.22587174,347.0
0.54017025,0.18533528,348.0
0.6474633,0.21380353,349.0
0.6259632,0.20990956,350.0
0.42998922,0.17534697,351.0
0.7640841,0.22969371,352.0
0.6528901,0.19990754,353.0
0.7222005,0.21743548,354.0
0.6924002,0.21377254,355.0
0.68628716,0.22145432,356.0
0.55827,0.1881234,357.0
0.6438893,0.20762253,358.0
0.6227645,0.20412868,359.0
0.4934315,0.18467647,360.0
0.36722952,0.15975362,361.0
0.38789922,0.17032987,362.0
0.4603963,0.15667075,363.0
0.4449548,0.18059343,364.0
0.64597464,0.2018466,365.0
0.50059736,0.15740657,366.0
0.54148316,0.18025029,367.0
0.60739195,0.17773318,368.0
0.5945699,0.19683135,369.0
3.1375644,0.8757317,370.0
2.6234412,0.6871401,371.0
0.40047872,0.13419724,372.0
0.6182569,0.1227535,373.0
1.0077217,0.18761873,374.0
1.5087982,0.26912093,375.0
2.3517354,0.6529949,376.0
0.61341417,0.13254225,377.0
1.0215303,0.19932747,378.0
1.5393568,0.30059493,379.0
2.275238,0.45521367,380.0
3.275175,0.879205,381.0
0.9213742,0.18839544,382.0
1.4328685,0.25291884,383.0
2.1264038,0.39754808,384.0
3.2821126,0.76463103,385.0
0.3960923,0.10068202,386.0
0.6371734,0.10933113,387.0
1.0249723,0.16900826,388.0
1.5016644,0.23312163,389.0
2.2126217,0.4842466,390.0
2.3700237,0.5774888,391.0
0.9734875,0.18111813,392.0
1.5260862,0.3182721,393.0
2.2598145,0.47363424,394.0
4.198677,1.0906129,395.0
0.42299426,0.11942476,396.0
0.8160691,0.13886946,397.0
0.5780678,0.1160056,398.0
0.81309044,0.13436252,399.0
0.58861077,0.13619453,400.0
0.60618687,0.12105054,401.0
1.7823148,0.35423183,402.0
2.876399,0.69529533,403.0
2.1011214,0.3653555,404.0
2.3798,0.33662772,405.0
3.0274096,0.5594611,406.0
0.5081179,0.0965147,407.0
0.73911,0.09997332,408.0
0.37950015,0.09275687,409.0
3.171897,0.6658993,410.0
